Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,xBuy,xSell,xProfit,xPosition,xCash,xAvgCost,xBuyOrder,xSellOrder,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2023-08-15,0.01,1.7959,0.01,0.1898,4365785.356209978,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-16,0.1897,0.2787,0.1654,0.2021,28505299.96595065,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-17,0.2021,0.2168,0.1717,0.1805,17483545.638706785,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-18,0.1805,0.1843,0.1481,0.1567,14765202.358829942,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-19,0.1567,0.1705,0.1518,0.1591,13833490.76782616,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-20,0.159,0.1612,0.1465,0.1498,17588888.60619352,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-21,0.1499,0.1552,0.1416,0.1428,10320723.934268389,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-22,0.1428,0.1559,0.1424,0.1457,9981907.736448765,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-23,0.1456,0.1562,0.1437,0.15,11416891.578401605,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-24,0.15,0.1558,0.1467,0.1472,11430629.54825664,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-25,0.1472,0.1488,0.1366,0.1387,8849750.21968522,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-26,0.1387,0.1396,0.1289,0.1336,7430651.07132772,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-27,0.1336,0.1354,0.1279,0.1328,7689274.61561087,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-28,0.1328,0.1334,0.1255,0.1276,5703367.138470595,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-29,0.1277,0.1328,0.1184,0.1294,4162654.6606048,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-30,0.1294,0.1721,0.1285,0.1551,7692394.762934982,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-08-31,0.1551,0.1599,0.1349,0.1371,6125853.81086049,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-09-01,0.137,0.1389,0.1278,0.1344,5225244.949029478,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-09-02,0.1344,0.15,0.1288,0.1318,6840373.64407127,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-09-03,0.1318,0.1362,0.1261,0.1276,6027256.37399026,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-09-04,0.1276,0.1299,0.1232,0.1241,5013026.32606334,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-09-05,0.1241,0.1263,0.121,0.1235,6254254.754175767,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
2023-09-06,0.1235,0.1283,0.1228,0.1238,5134328.31140991,0.0,,,,,,,,False,,,,,,,,,,,,,,,,,,,,
