Date,Open,High,Low,Close,Vol,BuySignal,Stop_profit,exit_price,Matured,time_cost,buy,sell,profit,OBV_UP,sBuy,sSell,sProfit,sPosition,sCash,sAvgCost,sPnLRatio,Kelly,Postrior,P/L,likelihood,profit_margin,loss_margin
2024-08-31 07:51:00,59153.78,59161.45,59147.9,59153.78,120224.03188671,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:52:00,59160.59,59160.59,59148.84,59159.35,120069.20896523,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:53:00,59164.92,59164.92,59141.52,59156.01,33121.5538187,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:54:00,59164.7,59164.7,59153.79,59153.79,2316.46254955,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:55:00,59153.79,59153.79,59132.85,59138.12,152404.65564776,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:56:00,59138.12,59138.12,59122.88,59122.88,21819.39880867,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:57:00,59115.92,59115.92,59115.92,59115.92,779.02959376,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:58:00,59124.44,59136.51,59110.57,59110.57,61690.41946288,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 07:59:00,59110.58,59115.41,59110.58,59115.41,74191.3830402,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:00:00,59122.59,59122.59,59109.85,59118.06,590.12273975,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:01:00,59118.05,59118.05,59118.05,59118.05,354.2353556,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:02:00,59115.5,59115.51,59109.86,59109.86,110969.82221458,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:03:00,59109.87,59109.87,59084.04,59084.04,37252.34665828,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:04:00,59084.03,59123.28,59066.91,59114.88,258930.25140582,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:05:00,59116.89,59131.24,59116.88,59127.98,1572.4143296,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:06:00,59135.35,59147.39,59135.35,59141.37,252162.32684803,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:07:00,59144.98,59149.11,59144.97,59149.11,73964.25482091,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:08:00,59154.84,59154.84,59143.69,59143.69,9435.09580186,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:09:00,59143.7,59161.82,59143.7,59150.92,57890.77667394,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:10:00,59159.39,59164.31,59143.48,59143.48,76985.55358923,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:11:00,59133.85,59133.85,59124.05,59124.05,9323.91567601,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:12:00,59124.06,59124.06,59098.84,59119.72,65231.96240968,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:13:00,59119.73,59134.87,59119.72,59134.87,3033.80181577,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:14:00,59135.49,59135.49,59121.68,59123.04,2004.67174161,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:15:00,59123.04,59142.95,59115.78,59142.95,12241.93679945,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:16:00,59136.37,59136.37,59131.24,59131.25,4106.5101146,0.0,,,,,,,,False,,,,,,,,,,,,,
2024-08-31 08:17:00,59131.25,59180.75,59131.25,59180.75,56960.97756782,0.0,,,,,,,,False,,,,,,,,,,,,,
